Date,Close,High,Low,Open,Volume
2025-01-14,577.1329956054688,579.9185850210109,573.3263239123643,579.2841296546612,48420600
2025-01-15,587.6310424804688,588.7809399035968,584.0821220198754,585.2023114906353,56900200
2025-01-16,586.5009155273438,589.1873372221838,585.797060942297,589.0089079974523,43319700
2025-01-17,592.3893432617188,594.1538504397219,590.436423528344,591.7747335194372,58070600
2025-01-21,597.8117065429688,597.8216293606315,593.4697477556989,595.4523751286994,42532900
2025-01-22,601.1723022460938,602.5403200370894,600.1016664737954,600.656799743693,48196000
2025-01-23,604.45361328125,604.45361328125,600.2603751042184,600.5379115165184,41152100
2025-01-24,602.68896484375,605.4746144426255,601.5291447490314,604.5130086851335,34604700
2025-01-27,594.1636962890625,594.4809239383382,589.4748017805242,589.6433081706125,70361100
2025-01-28,599.2689819335938,600.1115743831343,592.0621119171008,595.4028342716128,44433300
2025-01-29,596.58251953125,598.882374668965,594.0149903221018,598.4759021527152,37177400
2025-01-30,599.784423828125,601.3308707916877,595.5019413509543,598.7138485875727,39281300
2025-01-31,596.5924072265625,604.6617151174094,595.8290763300002,602.2230616784475,66566900
2025-02-03,592.5775756835938,595.0756449203371,585.3607833208209,587.5218398017656,65857200
2025-02-04,596.5527954101562,597.0682373976618,592.0918837004701,592.6370941417676,33457800
2025-02-05,598.9715576171875,599.1202788798545,593.3805941197304,595.4226979994195,30653100
2025-02-06,601.0533447265625,601.1822203511523,597.3953946627929,600.726194256066,35771500
2025-02-07,595.5515747070312,602.8476293093627,594.8377973519179,601.6184099530446,50788500
2025-02-10,599.5960693359375,600.2404474451814,597.5044119428333,598.7832453434885,26048700
2025-02-11,600.0521240234375,600.5973344853313,597.197135580987,597.3160883906734,30056700
2025-02-12,598.1190185546875,599.2986842760012,593.3111713193676,593.9951801914737,45076100
2025-02-13,604.4337768554688,604.6419745466134,597.9605288512577,599.2293791218168,40921300
2025-02-14,604.4039916992188,605.6827646257742,603.7794592105552,604.6418973129976,26910400
2025-02-18,606.1784057617188,606.1784057617188,603.0954346706795,605.5737189248886,26749000
2025-02-19,607.6058959960938,607.9032780036847,604.2651736833511,604.7806761664997,31011100
2025-02-20,605.0780639648438,606.3667596800622,601.7472644379752,606.2279612401959,36554000
2025-02-21,594.728759765625,604.9987554556133,594.2628108513653,604.8599570126433,76519800
2025-02-24,592.0224609375,597.7919137798638,591.3086836297409,596.7906772884849,50737200
2025-02-25,589.0782470703125,592.6965662998072,584.4389061860617,591.9630038380435,58266500
2025-02-26,589.3756713867188,594.3719315476118,586.718957724097,590.7536120583931,43321600
2025-02-27,579.9680786132812,592.8254489982988,579.571589429075,591.665568384651,74196700
2025-02-28,589.018798828125,589.5540864732496,577.3807850421597,580.4736791128596,88744100
2025-03-03,578.69921875,592.1513529367862,574.8628395664972,591.0013951605243,74249200
2025-03-04,571.8492431640625,580.3051786101872,567.2793012349447,574.6745236933907,109648200
2025-03-05,577.995361328125,579.7995595159383,568.1020700009266,571.6806979232716,71230500
2025-03-06,567.7353515625,575.1305138313668,565.1678221830052,570.4812496614657,80094900
2025-03-07,570.9174194335938,572.3746821635032,560.7168223441957,565.9410653648017,81158800
2025-03-10,555.710693359375,564.5928260670291,550.7640472991095,562.6598126082816,99326600
2025-03-11,551.0911254882812,559.1208032031337,547.2250381485285,554.5409384975098,88102100
2025-03-12,554.0155029296875,558.2186634905289,548.8805050365849,557.2868261582678,69588200
2025-03-13,546.6301879882812,554.2533928238977,544.9053118169562,553.6387831652644,74079400
2025-03-14,557.9212646484375,558.9324239905063,546.6995862320014,551.2794507149214,62660300
2025-03-17,562.2236328125,564.7613936613525,557.4652782790344,557.9014587611023,49008700
2025-03-18,556.1468505859375,560.1121055231899,554.203853884888,559.8939850390469,66041400
2025-03-19,562.2037963867188,565.9906223374012,556.7515705240334,557.9411591768904,66556000
2025-03-20,560.5780639648438,565.6139553056482,557.7131523935891,558.4368526534365,62958200
2025-03-21,560.762939453125,561.6677826377718,554.8469278493619,556.0897976294804,83763000
2025-03-24,570.8053588867188,571.86926269199,566.9474862667257,567.5440394813636,58766800
2025-03-25,572.177490234375,573.1220227068575,570.4175672260229,572.0183689196199,38355700
2025-03-26,565.3466796875,573.0425195248911,563.9546412826954,571.9090077398645,51848300
2025-03-27,563.8452758789062,567.6434930945948,561.717468314772,563.944681183511,42164200
2025-03-28,552.4904174804688,563.0399428035041,551.903816900767,562.304173568215,71662700
2025-03-31,556.1991577148438,557.5116354900671,543.750554530121,546.6936920279248,95328200
2025-04-01,557.7700805664062,559.7288748312798,550.5216860996894,554.270200650382,54609600
2025-04-02,561.2999267578125,564.1833483830226,551.645291964534,551.883913264606,76014500
2025-04-03,533.6385498046875,544.844221821506,533.6385498046875,542.0005504953318,125986000
2025-04-04,502.3977966308594,522.8703441644736,502.17905033414394,520.6828811973194,217965100
2025-04-07,501.5029296875,520.1857262659767,479.0517131179981,486.3995737800916,256611400
2025-04-08,493.64801025390625,521.9854113898446,486.36975741253633,518.8832132196871,165816600
2025-04-09,545.4906005859375,545.4906005859375,490.23757127668296,490.62536123459006,241867300
2025-04-10,521.5877075195312,530.4568090591443,506.41474390850067,529.1343786533849,162331200
2025-04-11,530.894287109375,533.3700738725757,517.1034096020134,520.0266416001656,97866300
2025-04-14,536.0447387695312,541.1753390049968,530.8147332303623,540.9466097072813,68034000
2025-04-15,534.5433349609375,540.1312723398183,533.7479104814203,536.5915818220184,56892900
2025-04-16,522.6614990234375,534.8217778198467,517.3221354783915,528.6471791077158,83484800
2025-04-17,523.4072265625,528.1400842911512,520.9214870568637,524.6302516664327,79868100
